,Geographic Correspondence,Journalâ€™s discipline
0,partial/partial,computer science
1,no,geo-information
2,full,engineering
3,full,geo-information
4,partial/full,geo-information
5,full,geo-information
6,no,computer science
7,no,geo-information
8,no,informatics
9,no,informatics
10,NA,geo-information
11,no,geo-information
12,partial/full,geo-information
13,partial/partial,computer science
14,no,informatics
15,NA,social sciences
16,NA,informatics
17,partial/full,geo-information
18,NA,geo-information
19,no,geo-information
20,no,geo-information
21,NA,geo-information
22,full,geo-information
23,no,social sciences
24,NA,computer science
25,full,informatics
26,full,social sciences
27,no,geo-information
28,full,geo-information
29,partial/full,geo-information
30,full,geo-information
31,full,geo-information
32,no,social sciences
33,no,interdisciplinary
34,no,geo-information
35,full,social sciences
36,full,geo-information
37,partial/partial,computer science
38,full,exact sciences
39,full,geo-information
40,full,computer science
41,no,geo-information
42,partial/partial,geo-information
43,partial/partial,geo-information
44,full,geo-information
45,no,geo-information
46,full,interdisciplinary
47,no,informatics
48,full,geo-information
49,full,geo-information
50,full,geo-information
51,partial/full,interdisciplinary
52,full,computer science
53,partial/full,interdisciplinary
54,no,geo-information
55,partial/partial,geo-information
56,no,geo-information
57,no,geo-information
58,no,geo-information
59,no,geo-information
60,NA,geo-information
61,no,geo-information
62,full,interdisciplinary
63,full,geo-information
64,partial/partial,geo-information
65,NA,social sciences
66,full,geo-information
67,full,interdisciplinary
68,no,interdisciplinary
69,no,geo-information
70,partial/full,geo-information
71,NA,interdisciplinary
72,no,interdisciplinary
73,partial/partial,interdisciplinary
74,no,social sciences
75,full,geo-information
76,no,geo-information
77,no,geo-information
78,full,interdisciplinary
79,NA,computer science
80,full,informatics
81,no,geo-information
82,no,geo-information
83,no,interdisciplinary
84,NA,social sciences
85,partial/full,geo-information
86,no,social sciences
87,partial/full,exact sciences
88,full,social sciences
89,partial/full,geo-information
90,full,geo-information
91,full,geo-information
92,full,geo-information
93,full,informatics
94,partial/full,informatics
95,partial/full,interdisciplinary
96,partial/partial,geo-information
97,NA,geo-information
98,no,geo-information
99,NA,geo-information
100,no,exact sciences
101,NA,geo-information
102,partial/full,geo-information
103,full,social sciences
104,NA,computer science
105,partial/full,geo-information
106,partial/partial,social sciences
107,partial/full,informatics
108,full,informatics
109,partial/full,geo-information
110,no,interdisciplinary
111,no,social sciences
112,no,informatics
113,no,informatics
114,no,interdisciplinary
115,no,geo-information
116,partial/partial,social sciences
117,partial/partial,geo-information
118,full,social sciences
119,NA,geo-information
120,no,engineering
121,no,geo-information
122,NA,geo-information
123,no,geo-information
124,full,geo-information
125,full,interdisciplinary
126,partial/full,geo-information
127,full,informatics
128,full,informatics
129,NA,geo-information
130,NA,computer science
131,full,geo-information
132,full,interdisciplinary
133,full,geo-information
134,partial/partial,interdisciplinary
135,no,geo-information
136,full,computer science
137,full,exact sciences
138,full,social sciences
139,full,engineering
140,full,computer science
141,full,geo-information
142,full,interdisciplinary
143,full,geo-information
144,full,geo-information
145,no,geo-information
146,no,geo-information
147,full,engineering
148,full,geo-information
149,no,geo-information
150,partial/full,informatics
151,full,geo-information
152,no,interdisciplinary
153,NA,geo-information
154,full,geo-information
155,full,geo-information
156,partial/partial,geo-information
157,partial/partial,geo-information
158,no,geo-information
159,partial/full,geo-information
160,full,geo-information
161,full,geo-information
162,partial/full,interdisciplinary
163,partial/full,geo-information
164,no,informatics
165,no,geo-information
166,partial/partial,geo-information
167,partial/partial,geo-information
168,NA,geo-information
169,partial/partial,computer science
170,full,geo-information
171,no,geo-information
172,partial/full,computer science
173,no,geo-information
174,partial/full,computer science
175,full,geo-information
176,no,geo-information
177,partial/partial,engineering
178,no,engineering
179,no,informatics
180,partial/partial,geo-information
181,full,geo-information
182,partial/partial,geo-information
183,full,geo-information
184,partial/partial,geo-information
185,partial/partial,geo-information
186,no,geo-information
187,no,geo-information
188,partial/partial,geo-information
189,full,informatics
190,partial/partial,geo-information
191,full,geo-information
192,NA,geo-information
193,partial/full,geo-information
194,full,engineering
195,no,interdisciplinary
196,NA,geo-information
197,partial/partial,geo-information
198,partial/partial,engineering
199,partial/full,geo-information
